LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
KOR,MEATCONSUMP,BEEF,KG_CAP,A,2006,6.637841057
KOR,MEATCONSUMP,BEEF,KG_CAP,A,2007,7.437198448
KOR,MEATCONSUMP,BEEF,KG_CAP,A,2008,7.674774318
KOR,MEATCONSUMP,BEEF,KG_CAP,A,2009,7.191312654
KOR,MEATCONSUMP,BEEF,KG_CAP,A,2010,8.320848085
KOR,MEATCONSUMP,BEEF,KG_CAP,A,2011,8.707004009
KOR,MEATCONSUMP,BEEF,KG_CAP,A,2012,8.841522358
MEX,MEATCONSUMP,BEEF,KG_CAP,A,1990,7.261090006
MEX,MEATCONSUMP,BEEF,KG_CAP,A,1991,8.814983841
MEX,MEATCONSUMP,BEEF,KG_CAP,A,1992,9.182074638
MEX,MEATCONSUMP,BEEF,KG_CAP,A,1993,8.30997866
MEX,MEATCONSUMP,BEEF,KG_CAP,A,1994,9.740694301
MEX,MEATCONSUMP,BEEF,KG_CAP,A,1995,8.334465647
MEX,MEATCONSUMP,BEEF,KG_CAP,A,1996,9.666468837
MEX,MEATCONSUMP,BEEF,KG_CAP,A,1997,9.910710325
MEX,MEATCONSUMP,BEEF,KG_CAP,A,1998,10.67567276
MEX,MEATCONSUMP,BEEF,KG_CAP,A,1999,10.57677603
MEX,MEATCONSUMP,BEEF,KG_CAP,A,2000,10.49153903
MEX,MEATCONSUMP,BEEF,KG_CAP,A,2001,10.75139119
MEX,MEATCONSUMP,BEEF,KG_CAP,A,2002,11.5213677
MEX,MEATCONSUMP,BEEF,KG_CAP,A,2003,10.68923278
MEX,MEATCONSUMP,BEEF,KG_CAP,A,2004,10.16583955
MEX,MEATCONSUMP,BEEF,KG_CAP,A,2005,10.42858109
MEX,MEATCONSUMP,BEEF,KG_CAP,A,2006,9.780707015
MEX,MEATCONSUMP,BEEF,KG_CAP,A,2007,10.44800711
MEX,MEATCONSUMP,BEEF,KG_CAP,A,2008,10.81392566
MEX,MEATCONSUMP,BEEF,KG_CAP,A,2009,10.27556695
MEX,MEATCONSUMP,BEEF,KG_CAP,A,2010,9.692381022
MEX,MEATCONSUMP,BEEF,KG_CAP,A,2011,8.797268405
MEX,MEATCONSUMP,BEEF,KG_CAP,A,2012,8.788203625
NZL,MEATCONSUMP,BEEF,KG_CAP,A,1990,26.07147352
NZL,MEATCONSUMP,BEEF,KG_CAP,A,1991,24.02986719
NZL,MEATCONSUMP,BEEF,KG_CAP,A,1992,24.80055904
NZL,MEATCONSUMP,BEEF,KG_CAP,A,1993,24.15063205
NZL,MEATCONSUMP,BEEF,KG_CAP,A,1994,21.02291852
NZL,MEATCONSUMP,BEEF,KG_CAP,A,1995,28.21808131
NZL,MEATCONSUMP,BEEF,KG_CAP,A,1996,29.05699922
NZL,MEATCONSUMP,BEEF,KG_CAP,A,1997,25.25784536
NZL,MEATCONSUMP,BEEF,KG_CAP,A,1998,21.91882027
NZL,MEATCONSUMP,BEEF,KG_CAP,A,1999,23.14591069
NZL,MEATCONSUMP,BEEF,KG_CAP,A,2000,23.26710495
NZL,MEATCONSUMP,BEEF,KG_CAP,A,2001,21.66332125
NZL,MEATCONSUMP,BEEF,KG_CAP,A,2002,16.95234814
NZL,MEATCONSUMP,BEEF,KG_CAP,A,2003,23.15017902
NZL,MEATCONSUMP,BEEF,KG_CAP,A,2004,20.18231531
NZL,MEATCONSUMP,BEEF,KG_CAP,A,2005,15.74863248
NZL,MEATCONSUMP,BEEF,KG_CAP,A,2006,17.18708752
NZL,MEATCONSUMP,BEEF,KG_CAP,A,2007,20.09374078
NZL,MEATCONSUMP,BEEF,KG_CAP,A,2008,20.14212688
NZL,MEATCONSUMP,BEEF,KG_CAP,A,2009,17.65916897
NZL,MEATCONSUMP,BEEF,KG_CAP,A,2010,19.39838339
NZL,MEATCONSUMP,BEEF,KG_CAP,A,2011,19.63929528
NZL,MEATCONSUMP,BEEF,KG_CAP,A,2012,18.30044315
TUR,MEATCONSUMP,BEEF,KG_CAP,A,1990,4.954876493
TUR,MEATCONSUMP,BEEF,KG_CAP,A,1991,4.760634338
TUR,MEATCONSUMP,BEEF,KG_CAP,A,1992,4.241143597
TUR,MEATCONSUMP,BEEF,KG_CAP,A,1993,4.130238165
TUR,MEATCONSUMP,BEEF,KG_CAP,A,1994,3.782978369
TUR,MEATCONSUMP,BEEF,KG_CAP,A,1995,3.702809298
TUR,MEATCONSUMP,BEEF,KG_CAP,A,1996,3.808281622
TUR,MEATCONSUMP,BEEF,KG_CAP,A,1997,4.463768705
TUR,MEATCONSUMP,BEEF,KG_CAP,A,1998,4.149625308
TUR,MEATCONSUMP,BEEF,KG_CAP,A,1999,3.986229702
TUR,MEATCONSUMP,BEEF,KG_CAP,A,2000,3.96771314
TUR,MEATCONSUMP,BEEF,KG_CAP,A,2001,3.613482443
TUR,MEATCONSUMP,BEEF,KG_CAP,A,2002,3.53384407
TUR,MEATCONSUMP,BEEF,KG_CAP,A,2003,3.188608789
TUR,MEATCONSUMP,BEEF,KG_CAP,A,2004,3.927008658
TUR,MEATCONSUMP,BEEF,KG_CAP,A,2005,3.373110636
TUR,MEATCONSUMP,BEEF,KG_CAP,A,2006,3.523211276
TUR,MEATCONSUMP,BEEF,KG_CAP,A,2007,4.344333428
TUR,MEATCONSUMP,BEEF,KG_CAP,A,2008,3.726149496
TUR,MEATCONSUMP,BEEF,KG_CAP,A,2009,3.16035839
TUR,MEATCONSUMP,BEEF,KG_CAP,A,2010,5.937248496
TUR,MEATCONSUMP,BEEF,KG_CAP,A,2011,6.033200956
TUR,MEATCONSUMP,BEEF,KG_CAP,A,2012,7.317690864
USA,MEATCONSUMP,BEEF,KG_CAP,A,1990,30.62289194
USA,MEATCONSUMP,BEEF,KG_CAP,A,1991,30.40783982
USA,MEATCONSUMP,BEEF,KG_CAP,A,1992,30.30476889
USA,MEATCONSUMP,BEEF,KG_CAP,A,1993,29.6626509
USA,MEATCONSUMP,BEEF,KG_CAP,A,1994,30.7129812
USA,MEATCONSUMP,BEEF,KG_CAP,A,1995,30.89802361
USA,MEATCONSUMP,BEEF,KG_CAP,A,1996,30.99587099
USA,MEATCONSUMP,BEEF,KG_CAP,A,1997,30.26926593
USA,MEATCONSUMP,BEEF,KG_CAP,A,1998,30.61686646
USA,MEATCONSUMP,BEEF,KG_CAP,A,1999,30.93746274
USA,MEATCONSUMP,BEEF,KG_CAP,A,2000,31.03662604
USA,MEATCONSUMP,BEEF,KG_CAP,A,2001,30.35202385
USA,MEATCONSUMP,BEEF,KG_CAP,A,2002,31.01335734
USA,MEATCONSUMP,BEEF,KG_CAP,A,2003,29.78073083
USA,MEATCONSUMP,BEEF,KG_CAP,A,2004,30.31128389
USA,MEATCONSUMP,BEEF,KG_CAP,A,2005,30.03546945
USA,MEATCONSUMP,BEEF,KG_CAP,A,2006,30.16403658
USA,MEATCONSUMP,BEEF,KG_CAP,A,2007,29.90403793
USA,MEATCONSUMP,BEEF,KG_CAP,A,2008,28.7207232
USA,MEATCONSUMP,BEEF,KG_CAP,A,2009,28.05783499
USA,MEATCONSUMP,BEEF,KG_CAP,A,2010,27.28935435
USA,MEATCONSUMP,BEEF,KG_CAP,A,2011,26.30681386
USA,MEATCONSUMP,BEEF,KG_CAP,A,2012,26.14167654
ARG,MEATCONSUMP,BEEF,KG_CAP,A,1990,55.36999455
ARG,MEATCONSUMP,BEEF,KG_CAP,A,1991,51.6379829
ARG,MEATCONSUMP,BEEF,KG_CAP,A,1992,50.78917845
ARG,MEATCONSUMP,BEEF,KG_CAP,A,1993,51.46466658
ARG,MEATCONSUMP,BEEF,KG_CAP,A,1994,48.37523314
ARG,MEATCONSUMP,BEEF,KG_CAP,A,1995,43.48520527
ARG,MEATCONSUMP,BEEF,KG_CAP,A,1996,44.00235355
ARG,MEATCONSUMP,BEEF,KG_CAP,A,1997,44.63931054
ARG,MEATCONSUMP,BEEF,KG_CAP,A,1998,41.42852079
ARG,MEATCONSUMP,BEEF,KG_CAP,A,1999,45.53406375
ARG,MEATCONSUMP,BEEF,KG_CAP,A,2000,45.05369553
ARG,MEATCONSUMP,BEEF,KG_CAP,A,2001,43.75816387
ARG,MEATCONSUMP,BEEF,KG_CAP,A,2002,40.28261809
ARG,MEATCONSUMP,BEEF,KG_CAP,A,2003,41.62165283
ARG,MEATCONSUMP,BEEF,KG_CAP,A,2004,43.50166344
ARG,MEATCONSUMP,BEEF,KG_CAP,A,2005,42.64426647
